choice;bank_partner;choice_1;choice_2;choice_3;choice_4;choice_5
LES QUATRE G SARL / 4G LYCEE;LES QUATRE G;LES QUATRE G SARL / 4G LYCEE;POINT CHAUD LE QUARTIER;EARL FERME EQUESTRE DU SUD SAUVAGE;FIARDA JULES ANDRE;LE QUAI GILBERT TRAITEUR
;LM FRAICHEUR;LM FRAICHEUR CARREFOUR CHATEL;LM FRAICHEUR CARREFOUR MARKET LE PORT;LM FRAICHEUR CARREFOUR MARKET PLATEAU GOYAVES;LM FRAICHEUR CARREFOUR MOUFIA;LM FRAICHEUR CARREFOUR ROQUEFEUIL
;LM G MAG;LMG MAG LEADER PRICE BANK;LMG MAG LEADER PRICE BEL AIR (INT);LMG MAG LEADER PRICE BELLEPIERRE;LMG MAG LEADER PRICE HERMITAGE (INT) SECH;LMG MAG LEADER PRICE MARECHAL LECLERC (INT)
LYCEE AMBROISE VOLLARD;LYCEE AMBROISE VOLLARD;LYCEE AMBROISE VOLLARD;AMIR;CHEZ BABO;LHC;RISOFE
LYCEE PROFESSIONNEL FRANCOIS DE MAHY/CAFETARIA;LYCEE FRANCOIS DE MAHY;LYCEE PROFESSIONNEL FRANCOIS DE MAHY/CAFETARIA;ELMA;SODEXMA;ACM OI;FCO
;LYCEE MARGUERITE JAUZELON;ELMA;LES MANGUIERS;GEM;LE BAG;LHC
MADZOUBIA KEVIN;M. MADZOUBIA KEVIN;MADZOUBIA KEVIN;FBI;MADCOM;AKINA;BILAL KEBAB
MAKE DISTRIBUTION;MAKE DISTRIBUTION;MAKE DISTRIBUTION;SAS MAKE DISTRIBUTION 210 - RUN MARKET SAVANNA -;SAS MAKE DISTRIBUTION 220 - RUN MARKET STE MARIE -;SAS MAKE DISTRIBUTION 230 - RUN MARKET CHAUDRON -;SAS MAKE DISTRIBUTION 240 - RUN MARKET ST ANDRE -
LAUDE MARIE ANIELLE;MARIE LAUDE EI;MIAM/GRONDIN MARIE CLAUDE NATHALIE;WAN TAN YUE MARIE CLAUDE;DUCHEMANN MARIE NADEGE;GALDIN MARIE ANDREE;LEBON MARIE ANDREE
;ML HOLDING;LE GOLDEN;LHC;LES DELICES DE L HORLOGE;LMG MAG LP ST PAUL ORLYDIS;O TI ZOREOL/FAVREL LUDWIG
CHEZ MAMINE;MME DIJOUX JASMINE EI CHEZ MAMINE;CHEZ MAM;CHEZ MAMINE;CHEZ MIMI;CHEZ MAO;CHEZ MARINETTE
x;MME JULIE LI CHAM YON;Eric LI CHAM YON;LE CHAM' O;Julie LI CHAM YON;ACM OI;Gilles LI CHAM YON
MIO PIZZA VINCENDO/JONOALTI;MONSIEUR DAMOUR JOHN LOGANE JONOALTI EI MIA PIZZA VINCENDO;PIZZA VINCENDO;SD VINCENDO;LA PIZZA 3;PIZZA ZINO;MBJ PIZZA
MPSP 97460/MIO PIZZA SAINT PAUL;MPSP 97460;MPSP 97460/MIO PIZZA SAINT PAUL;MPSL 97436/ MIO PIZZA SAINT LEU;DMP;MCS;MPP
FOOD WAY;MR ABDOUL GHANTY;GHANTY;GEANTYT;BABTOU;DOULUX;LA MAISON GHANTY
NALE SARL/ RUN TACOS;NALE;NALE SARL/ RUN TACOS;SNACK LA DIAGONALE/ROUGEMONT EMMANUEL;JACK'S ARTISANAL;KOMPTOIR ARTIZANAL;A TABLE/HUET VALERIE
NAPA SARL / RUN TACOS;NAPA;NAPA SARL / RUN TACOS;SINAPAYEL CAMILLE;SINAPAYEL DAMIEN/GRILLADES KRISH;ACAPANDIE RENE CLAUDE;ANAMPARELA BERNARD JEAN
NASP SARL/RUN TACOS;NASP;NASP SARL/RUN TACOS;A4/GANY ANASS;ANAMPARELA BERNARD JEAN;ANSTANTIN APAYA;ARNASSALOM KEVIN
NOIT SARL/RUN TACOS;NOIT SARL;NOIT SARL/RUN TACOS;LE DELICE OI SARL;ATELIER DE NORMANDIE SARL;CORNETS REUNION SARL;ESPACE ALUMINIUM SARL
LEADER PRICE ST PAUL (ORLYDIS);ORLYDIS;LEADER PRICE ST PAUL (ORLYDIS);LMG MAG LP ST PAUL ORLYDIS;AYDS;CARAN IMPORT DISTRIBUTION;FOURNAIZ FACTORY/DESBOIS GREGORY MAX
OSAKA REUNION;OSAKA REUNION;;;;;
PASTA & BURGER;PASTA - BURGER;PASTA & BURGER;ANSA;LALA BURGER;MONA BURGER;EAT YOUR BURGER/EYB
PLANETE NATURE SARL / PASSAGE DU CHAT BLANC;PLANETE NATURE SARL;PLANETE NATURE SARL / PASSAGE DU CHAT BLANC;KESAR;NATURE KREOL;PLANETE TATOO SAS;KAZ NATURE
POKYA;POKYA;POKYA;PROYAB SERVICE;ANSTANTIN APAYA;HEYOKA;MAISON MOKA
;REUNION HARD DISCOUNT OI SAS;NIHON;ENBI;SPOI SAS;FCO;MUTTI SPA
BOURBON FRAICHEUR DISTRIBUTION;S.A.R.L. BOURBON FRAICHEUR DISTRIBUTION;BOURBON FRAICHEUR DISTRIBUTION;M DISTRIBUTION;FRAICHEUR BLD;JC FRAICHEUR;GILBERT DISTRIBUTION
BOUTIK TI BOUT'CHOU;S.A.R.L. BOUTIK TI BOUT.CHOU;BOUTIK TI BOUT'CHOU;AL BOUTIK;LITA BOUTIK;FCO;LE BUTCHEUR
EPOCA GRANDE ANSE;S.A.R.L. EPOCA GRANDE ANSE;EPOCA GRANDE ANSE;ACSE;ANSA;CAP ZAN;L ESCALE GOURMANDE
L ENTRE-POTES;S.A.R.L. L.ENTRE-POTES;L ENTRE-POTES;NTSR;ESTREA;F.N;L'ENTRE-METS
LE TI PAIN CREOLE;S.A.R.L. LE TI PAIN CREOLE;LE TI PAIN CREOLE;CIPA;O TI PAIN CARRY;LE PATE CREOLE;TI KAZ CREOLE/TKC
NAMAE;S.A.R.L. NAMAE;NAMAE;F.N;SARL MAMAN LES BEAUX GATEAUX;SARL PALOMA;S.P.H.B.
;S.A.R.L. SOCIETE DE DISTRIBUTION;M DISTRIBUTION;JKD DISTRIBUTION;SCD DISTRIBUTION;MAKE DISTRIBUTION;REMA DISTRIBUTION
PETRIN DE PROVENCE/SAS PELTIER;S.A.S.   PELTIER;PETRIN DE PROVENCE/SAS PELTIER;G.P.S.;LTZ;PAELLERA;ASS DE CAVALIER DES ECURIES DU RELAIS DE LA PETITE ILE
;S.A.S.   SOCIETE D'EXPLOITATION    DES MAGASINS CARDAMONE;ERPL;SOCOTEC;COTRAM;G.P.S.;LE BAG
;S.A.S.   SOCIETE D'EXPLOITATION    DES MAGASINS D'UGO;ERPL;SOCOTEC;G.P.S.;LE BAG;SODILE
SAS BONBON TRADITION;S.A.S. BONBON TRADITION;SAS BONBON TRADITION;BONBON PLAISIR;BONBON TRADITION/TECHER BERNARD;TI BONBON PEI;BAAN THAI
;SA   SESSA;A & B EAT;KESAR;SIS;SIS;LE SESAME
C CANNELLE LABO;SARL  C CANNELLE;C CANNELLE LABO;C'CANNELLE PDC;LA CAYENNE;BELEM;MANELI
C'CANNELLE PDC;SARL C CANNELLE PDC;C'CANNELLE PDC;C CANNELLE LABO;SARL BANANES;C'CANNELLE SUD 2;LA CAYENNE
